settlement_date,processor,transaction_id,gross_amount,fee,net_amount,currency,status,reference
2026-09-03,Stripe,SET-5521,31800.0000,50.0000,31750.0000,INR,SETTLED,STRIPE-82931
2026-09-05,Razorpay,SET-9092-DUP1,25000.0000,0.0000,25000.0000,INR,SETTLED,REF-TXN-9092
2026-09-05,Razorpay,SET-9092-DUP2,25000.0000,0.0000,25000.0000,INR,SETTLED,REF-TXN-9092
2026-09-06,Stripe,SET-9941-DELAY,140000.0000,0.0000,140000.0000,INR,SETTLED,REF-TIMING-114
2026-09-05,BillDesk,SET-SPLIT-A,60000.0000,0.0000,60000.0000,INR,SETTLED,REF-SPLIT-119
2026-09-08,Stripe,SET-FX-7721,84000.0000,240.0000,83760.0000,INR,SETTLED,REF-FX-125
2026-09-26,BillDesk,SET-23434,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-46048
2026-09-21,Stripe,SET-40495,18200.0000,0.0000,18200.0000,INR,SETTLED,REF-65302
2026-09-03,BillDesk,SET-81426,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-83563
2026-09-17,Stripe,SET-30926,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-87236
2026-09-11,Razorpay,SET-23396,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-30379
2026-09-06,Razorpay,SET-15695,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-57052
2026-09-06,BillDesk,SET-91070,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-59615
2026-09-09,Razorpay,SET-20458,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-19116
2026-09-15,Razorpay,SET-31319,18200.0000,0.0000,18200.0000,INR,SETTLED,REF-46434
2026-09-09,BillDesk,SET-94939,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-97841
2026-09-23,Stripe,SET-70589,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-32431
2026-09-23,Stripe,SET-40021,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-83000
2026-09-15,BillDesk,SET-51245,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-45093
2026-09-15,Stripe,SET-42325,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-94259
2026-09-11,Razorpay,SET-57447,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-86622
2026-09-19,Stripe,SET-30033,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-74686
2026-09-22,Razorpay,SET-79352,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-18326
2026-09-03,BillDesk,SET-44973,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-99166
2026-09-12,BillDesk,SET-44522,18200.0000,0.0000,18200.0000,INR,SETTLED,REF-66985
2026-09-19,BillDesk,SET-76540,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-23947
2026-09-07,BillDesk,SET-10074,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-59009
2026-09-18,Razorpay,SET-41385,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-12552
2026-09-21,Stripe,SET-79822,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-20322
2026-09-24,Razorpay,SET-79163,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-72296
2026-09-09,Stripe,SET-50857,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-80686
2026-09-17,Stripe,SET-18392,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-77839
2026-09-21,Stripe,SET-19305,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-82603
2026-09-05,BillDesk,SET-41195,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-14117
2026-09-09,BillDesk,SET-85525,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-80678
2026-09-18,BillDesk,SET-66498,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-63354
2026-09-16,BillDesk,SET-95649,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-71213
2026-09-15,Stripe,SET-35112,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-54473
2026-09-17,Razorpay,SET-42742,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-28373
2026-09-20,BillDesk,SET-11934,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-22833
2026-09-08,Razorpay,SET-17685,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-63269
2026-09-03,Razorpay,SET-47388,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-61173
2026-09-24,Stripe,SET-17665,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-73788
2026-09-04,Razorpay,SET-75909,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-51104
2026-09-04,Stripe,SET-87992,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-76562
2026-09-15,Stripe,SET-85880,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-25713
2026-09-22,BillDesk,SET-78522,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-20745
2026-09-09,Razorpay,SET-61876,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-97782
2026-09-17,Stripe,SET-11220,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-51441
2026-09-21,BillDesk,SET-44760,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-23104
2026-09-05,Razorpay,SET-81200,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-42018
2026-09-23,BillDesk,SET-49240,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-79329
2026-09-11,BillDesk,SET-30374,24500.0000,0.0000,24500.0000,INR,SETTLED,REF-25129
2026-09-22,BillDesk,SET-93130,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-37607
2026-09-18,Stripe,SET-22097,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-42914
2026-09-04,BillDesk,SET-44335,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-10464
2026-09-20,Stripe,SET-29536,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-66057
2026-09-14,Stripe,SET-15482,12500.0000,0.0000,12500.0000,INR,SETTLED,REF-86350
2026-09-04,BillDesk,SET-23473,52000.0000,0.0000,52000.0000,INR,SETTLED,REF-56898
2026-09-16,Stripe,SET-31299,110000.0000,0.0000,110000.0000,INR,SETTLED,REF-91351
2026-09-03,Razorpay,SET-97806,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-33509
2026-09-08,Razorpay,SET-39154,48000.0000,0.0000,48000.0000,INR,SETTLED,REF-24168
2026-09-14,Stripe,SET-39219,95000.0000,0.0000,95000.0000,INR,SETTLED,REF-50001
2026-09-15,Razorpay,SET-56025,36000.0000,0.0000,36000.0000,INR,SETTLED,REF-53025
2026-09-24,Stripe,SET-44237,65000.0000,0.0000,65000.0000,INR,SETTLED,REF-80282
2026-09-11,Razorpay,SET-51114,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-15014
2026-09-19,Stripe,SET-43386,125000.0000,0.0000,125000.0000,INR,SETTLED,REF-25157
