invoice_number,customer,invoice_date,due_date,amount,currency,status
INV-1022,Acme Technologies Pvt Ltd,2026-09-01,2026-09-15,31800.0000,INR,PARTIAL
INV-3401,Zeta Cloud Services,2026-09-02,2026-10-02,140000.0000,INR,PAID
INV-9901,Bharat FinServ,2026-09-03,2026-09-18,100000.0000,INR,PARTIAL
INV-7721,Orbit Media Works,2026-09-06,2026-10-06,84000.0000,INR,PAID
INV-4006,Zeta Cloud Services,2026-09-25,2026-10-10,12500.0000,INR,PAID
INV-2260,Zenith Health Systems,2026-09-20,2026-10-05,18200.0000,INR,PAID
INV-3628,Zenith Health Systems,2026-09-02,2026-09-17,125000.0000,INR,PAID
INV-4278,Orbit Media Works,2026-09-16,2026-10-01,36000.0000,INR,PAID
INV-3763,Orbit Media Works,2026-09-10,2026-09-25,52000.0000,INR,PAID
INV-8942,Zeta Cloud Services,2026-09-05,2026-09-20,65000.0000,INR,PAID
INV-2645,Trident Infotech,2026-09-05,2026-09-20,110000.0000,INR,PAID
INV-2375,BlueStone Analytics,2026-09-08,2026-09-23,125000.0000,INR,PAID
INV-5714,Kaveri Enterprises,2026-09-14,2026-09-29,18200.0000,INR,PAID
INV-4187,BlueStone Analytics,2026-09-08,2026-09-23,52000.0000,INR,PAID
INV-6375,Zeta Cloud Services,2026-09-22,2026-10-07,125000.0000,INR,PAID
INV-3799,Orbit Media Works,2026-09-22,2026-10-07,48000.0000,INR,PAID
INV-2542,Acme Technologies Pvt Ltd,2026-09-14,2026-09-29,52000.0000,INR,PAID
INV-5758,Kaveri Enterprises,2026-09-14,2026-09-29,95000.0000,INR,PAID
INV-5509,Zenith Health Systems,2026-09-10,2026-09-25,110000.0000,INR,PAID
INV-2744,Kaveri Enterprises,2026-09-18,2026-10-03,24500.0000,INR,PAID
INV-5152,Apex Logistics India,2026-09-21,2026-10-06,65000.0000,INR,PAID
INV-7904,Nexus Retail Solutions,2026-09-02,2026-09-17,110000.0000,INR,PAID
INV-3295,BlueStone Analytics,2026-09-11,2026-09-26,18200.0000,INR,PAID
INV-9131,Zenith Health Systems,2026-09-18,2026-10-03,24500.0000,INR,PAID
INV-8246,Bharat FinServ,2026-09-06,2026-09-21,36000.0000,INR,PAID
INV-2916,Bharat FinServ,2026-09-17,2026-10-02,52000.0000,INR,PAID
INV-2701,Acme Technologies Pvt Ltd,2026-09-20,2026-10-05,36000.0000,INR,PAID
INV-9756,Apex Logistics India,2026-09-23,2026-10-08,24500.0000,INR,PAID
INV-8187,Bharat FinServ,2026-09-08,2026-09-23,65000.0000,INR,PAID
INV-5698,Orbit Media Works,2026-09-16,2026-10-01,52000.0000,INR,PAID
INV-3885,BlueStone Analytics,2026-09-20,2026-10-05,12500.0000,INR,PAID
INV-9042,Acme Technologies Pvt Ltd,2026-09-04,2026-09-19,36000.0000,INR,PAID
INV-3083,Nexus Retail Solutions,2026-09-08,2026-09-23,95000.0000,INR,PAID
INV-3559,Trident Infotech,2026-09-17,2026-10-02,36000.0000,INR,PAID
INV-9076,BlueStone Analytics,2026-09-15,2026-09-30,65000.0000,INR,PAID
INV-8558,Zeta Cloud Services,2026-09-14,2026-09-29,12500.0000,INR,PAID
INV-5456,Kaveri Enterprises,2026-09-16,2026-10-01,110000.0000,INR,PAID
INV-2414,Zeta Cloud Services,2026-09-19,2026-10-04,95000.0000,INR,PAID
INV-5978,Zeta Cloud Services,2026-09-07,2026-09-22,36000.0000,INR,PAID
INV-4172,Apex Logistics India,2026-09-02,2026-09-17,65000.0000,INR,PAID
INV-3268,Orbit Media Works,2026-09-23,2026-10-08,110000.0000,INR,PAID
INV-2468,Bharat FinServ,2026-09-03,2026-09-18,110000.0000,INR,PAID
