date,account,description,debit,credit,reference
2026-09-03,1010 - Operating Bank Account,Stripe Settlement STRIPE-82931,31750.0000,0.0000,STRIPE-82931
2026-09-26,1200 - Accounts Receivable,Receipt against INV-4006 Zeta Cloud Services,0.0000,12500.0000,REF-46048
2026-09-26,1010 - Operating Bank Account,Bank deposit receipt 46048,12500.0000,0.0000,REF-46048
2026-09-21,1200 - Accounts Receivable,Receipt against INV-2260 Zenith Health Systems,0.0000,18200.0000,REF-65302
2026-09-21,1010 - Operating Bank Account,Bank deposit receipt 65302,18200.0000,0.0000,REF-65302
2026-09-03,1200 - Accounts Receivable,Receipt against INV-3628 Zenith Health Systems,0.0000,125000.0000,REF-83563
2026-09-03,1010 - Operating Bank Account,Bank deposit receipt 83563,125000.0000,0.0000,REF-83563
2026-09-17,1200 - Accounts Receivable,Receipt against INV-4278 Orbit Media Works,0.0000,36000.0000,REF-87236
2026-09-17,1010 - Operating Bank Account,Bank deposit receipt 87236,36000.0000,0.0000,REF-87236
2026-09-11,1200 - Accounts Receivable,Receipt against INV-3763 Orbit Media Works,0.0000,52000.0000,REF-30379
2026-09-11,1010 - Operating Bank Account,Bank deposit receipt 30379,52000.0000,0.0000,REF-30379
2026-09-06,1200 - Accounts Receivable,Receipt against INV-8942 Zeta Cloud Services,0.0000,65000.0000,REF-57052
2026-09-06,1010 - Operating Bank Account,Bank deposit receipt 57052,65000.0000,0.0000,REF-57052
2026-09-06,1200 - Accounts Receivable,Receipt against INV-2645 Trident Infotech,0.0000,110000.0000,REF-59615
2026-09-06,1010 - Operating Bank Account,Bank deposit receipt 59615,110000.0000,0.0000,REF-59615
2026-09-09,1200 - Accounts Receivable,Receipt against INV-2375 BlueStone Analytics,0.0000,125000.0000,REF-19116
2026-09-09,1010 - Operating Bank Account,Bank deposit receipt 19116,125000.0000,0.0000,REF-19116
2026-09-15,1200 - Accounts Receivable,Receipt against INV-5714 Kaveri Enterprises,0.0000,18200.0000,REF-46434
2026-09-15,1010 - Operating Bank Account,Bank deposit receipt 46434,18200.0000,0.0000,REF-46434
2026-09-09,1200 - Accounts Receivable,Receipt against INV-4187 BlueStone Analytics,0.0000,52000.0000,REF-97841
2026-09-09,1010 - Operating Bank Account,Bank deposit receipt 97841,52000.0000,0.0000,REF-97841
2026-09-23,1200 - Accounts Receivable,Receipt against INV-6375 Zeta Cloud Services,0.0000,125000.0000,REF-32431
2026-09-23,1010 - Operating Bank Account,Bank deposit receipt 32431,125000.0000,0.0000,REF-32431
2026-09-23,1200 - Accounts Receivable,Receipt against INV-3799 Orbit Media Works,0.0000,48000.0000,REF-83000
2026-09-23,1010 - Operating Bank Account,Bank deposit receipt 83000,48000.0000,0.0000,REF-83000
2026-09-15,1200 - Accounts Receivable,Receipt against INV-2542 Acme Technologies Pvt Ltd,0.0000,52000.0000,REF-45093
2026-09-15,1010 - Operating Bank Account,Bank deposit receipt 45093,52000.0000,0.0000,REF-45093
2026-09-15,1200 - Accounts Receivable,Receipt against INV-5758 Kaveri Enterprises,0.0000,95000.0000,REF-94259
2026-09-15,1010 - Operating Bank Account,Bank deposit receipt 94259,95000.0000,0.0000,REF-94259
2026-09-11,1200 - Accounts Receivable,Receipt against INV-5509 Zenith Health Systems,0.0000,110000.0000,REF-86622
2026-09-11,1010 - Operating Bank Account,Bank deposit receipt 86622,110000.0000,0.0000,REF-86622
2026-09-19,1200 - Accounts Receivable,Receipt against INV-2744 Kaveri Enterprises,0.0000,24500.0000,REF-74686
2026-09-19,1010 - Operating Bank Account,Bank deposit receipt 74686,24500.0000,0.0000,REF-74686
2026-09-22,1200 - Accounts Receivable,Receipt against INV-5152 Apex Logistics India,0.0000,65000.0000,REF-18326
2026-09-22,1010 - Operating Bank Account,Bank deposit receipt 18326,65000.0000,0.0000,REF-18326
2026-09-03,1200 - Accounts Receivable,Receipt against INV-7904 Nexus Retail Solutions,0.0000,110000.0000,REF-99166
