date,description,amount,currency,reference,type
2026-09-03,STRIPE PAYOUT STRIPE-82931 #5521,31750.0000,INR,STRIPE-82931,CREDIT
2026-09-04,DIRECT RTGS INFLOW UNIDENTIFIED ORIGIN,72400.0000,INR,RTGS-99021-UNKNOWN,CREDIT
2026-09-05,RAZORPAY SETTLEMENT REF-TXN-9092,25000.0000,INR,REF-TXN-9092,CREDIT
2026-09-05,RAZORPAY SETTLEMENT REF-TXN-9092,25000.0000,INR,REF-TXN-9092,CREDIT
2026-09-06,STRIPE TRANSFER REF-TIMING-114 DELAYED CLEARING,140000.0000,INR,REF-TIMING-114,CREDIT
2026-09-05,BILLDESK PAYOUT PARTIAL REF-SPLIT-119,60000.0000,INR,REF-SPLIT-119,CREDIT
2026-09-07,UNRECOGNIZED MERCHANT DEBIT SAN FRANCISCO,18500.0000,INR,ACH-DEBIT-UNKNOWN,DEBIT
2026-09-08,STRIPE PAYOUT FX ADJUSTMENT REF-FX-125,83760.0000,INR,REF-FX-125,CREDIT
2026-09-26,BillDesk INC DISBURSEMENT #46048 Zeta Clo,12500.0000,INR,REF-46048,CREDIT
2026-09-21,Stripe INC DISBURSEMENT #65302 Zenith H,18200.0000,INR,REF-65302,CREDIT
2026-09-03,BILLDESK PAYOUT 83563,125000.0000,INR,REF-83563,CREDIT
2026-09-17,STRIPE PAYOUT 87236,36000.0000,INR,REF-87236,CREDIT
2026-09-11,RAZORPAY PAYOUT 30379,52000.0000,INR,REF-30379,CREDIT
2026-09-06,RAZORPAY PAYOUT 57052,65000.0000,INR,REF-57052,CREDIT
2026-09-06,BILLDESK PAYOUT 59615,110000.0000,INR,REF-59615,CREDIT
2026-09-09,RAZORPAY PAYOUT 19116,125000.0000,INR,REF-19116,CREDIT
2026-09-15,RAZORPAY PAYOUT 46434,18200.0000,INR,REF-46434,CREDIT
2026-09-09,BILLDESK PAYOUT 97841,52000.0000,INR,REF-97841,CREDIT
2026-09-23,STRIPE PAYOUT 32431,125000.0000,INR,REF-32431,CREDIT
2026-09-23,STRIPE PAYOUT 83000,48000.0000,INR,REF-83000,CREDIT
2026-09-15,BillDesk INC DISBURSEMENT #45093 Acme Tec,52000.0000,INR,REF-45093,CREDIT
2026-09-15,Stripe INC DISBURSEMENT #94259 Kaveri E,95000.0000,INR,REF-94259,CREDIT
2026-09-11,RAZORPAY PAYOUT 86622,110000.0000,INR,REF-86622,CREDIT
2026-09-19,STRIPE PAYOUT 74686,24500.0000,INR,REF-74686,CREDIT
2026-09-22,RAZORPAY PAYOUT 18326,65000.0000,INR,REF-18326,CREDIT
2026-09-03,BillDesk INC DISBURSEMENT #99166 Nexus Re,110000.0000,INR,REF-99166,CREDIT
2026-09-12,BILLDESK PAYOUT 66985,18200.0000,INR,REF-66985,CREDIT
2026-09-19,BILLDESK PAYOUT 23947,24500.0000,INR,REF-23947,CREDIT
2026-09-07,BillDesk INC DISBURSEMENT #59009 Bharat F,36000.0000,INR,REF-59009,CREDIT
2026-09-18,RAZORPAY PAYOUT 12552,52000.0000,INR,REF-12552,CREDIT
2026-09-21,STRIPE PAYOUT 20322,36000.0000,INR,REF-20322,CREDIT
2026-09-24,RAZORPAY PAYOUT 72296,24500.0000,INR,REF-72296,CREDIT
2026-09-09,STRIPE PAYOUT 80686,65000.0000,INR,REF-80686,CREDIT
2026-09-17,Stripe INC DISBURSEMENT #77839 Orbit Me,52000.0000,INR,REF-77839,CREDIT
2026-09-21,STRIPE PAYOUT 82603,12500.0000,INR,REF-82603,CREDIT
2026-09-05,BILLDESK PAYOUT 14117,36000.0000,INR,REF-14117,CREDIT
2026-09-09,BILLDESK PAYOUT 80678,95000.0000,INR,REF-80678,CREDIT
2026-09-18,BillDesk INC DISBURSEMENT #63354 Trident ,36000.0000,INR,REF-63354,CREDIT
2026-09-16,BILLDESK PAYOUT 71213,65000.0000,INR,REF-71213,CREDIT
2026-09-15,STRIPE PAYOUT 54473,12500.0000,INR,REF-54473,CREDIT
2026-09-17,Razorpay INC DISBURSEMENT #28373 Kaveri E,110000.0000,INR,REF-28373,CREDIT
2026-09-20,BILLDESK PAYOUT 22833,95000.0000,INR,REF-22833,CREDIT
2026-09-08,RAZORPAY PAYOUT 63269,36000.0000,INR,REF-63269,CREDIT
